Change_Control_ID,Title,Initiating_Department,Change_Type,Risk_Level,Change_Owner,Status,Creation_Date,Due_Date,Assessment_Completion_Date,Approval_Date,Implementation_Date,Closure_Date,On_Time_Implementation,Requires_Authority_Approval,Authority_Approval_Status,Linked_SOP_Change,Linked_CAPA
CC-2025-0001,Right station change stock among.,Quality Assurance,Major,High,Erika Knight,In Implementation,2025-01-27,2025-05-17,2025-02-03,2025-03-02,2025-04-25,,,Yes,Approved,SOP-Qual-043-rev5,CAPA-092
CC-2025-0002,Million hospital white bill.,Production,Administrative,Low,Chad Brown,Closed - Rejected,2023-10-14,2024-02-13,2023-10-23,2023-11-01,,2023-11-07,,No,Not Required,SOP-Qual-018-rev3,
CC-2025-0003,Month wait.,Quality Assurance,Emergency,High,Amanda Salas DDS,Pending Assessment,2024-10-30,2025-03-14,2024-11-04,,,,,No,Not Required,SOP-Engi-020-rev2,CAPA-087
CC-2025-0004,Above position deep ago over.,Quality Control,Emergency,Medium,Erika Knight,In Implementation,2025-04-20,2025-06-27,2025-04-30,2025-05-17,2025-06-23,,,No,Not Required,SOP-Qual-001-rev1,CAPA-058
CC-2025-0005,Especially story sound should.,Quality Assurance,Emergency,High,Keith Wilkerson,Closed - Rejected,2024-01-04,2024-02-20,2024-01-11,2024-02-09,,2024-02-12,,No,Not Required,SOP-Qual-036-rev3,CAPA-022
CC-2025-0006,Affect reveal else parent.,IT,Minor,Low,Keith Wilkerson,Pending Approval,2024-03-19,2024-08-21,2024-03-26,2024-04-07,,,,No,Not Required,SOP-Regu-042-rev5,
CC-2025-0007,Through line nature where adult.,Production,Administrative,Medium,Leslie Johnson,Pending Assessment,2024-10-26,2025-04-22,2024-11-03,,,,,No,Not Required,SOP-IT-032-rev2,CAPA-065
CC-2025-0008,Popular responsibility from gun which low.,Regulatory Affairs,Major,High,George Gonzalez,Draft,2024-08-26,2024-12-25,,,,,,Yes,Submitted,SOP-Qual-037-rev1,
CC-2025-0009,Former police sometimes scientist simply.,Quality Assurance,Minor,High,Joseph Romero,Pending Approval,2024-05-31,2024-11-07,2024-06-09,2024-07-08,,,,No,Not Required,SOP-IT-041-rev2,
CC-2025-0010,Star short deep mention record.,Regulatory Affairs,Administrative,Medium,Madeline Diaz,Pending Approval,2024-11-23,2025-02-07,2024-12-03,2024-12-15,,,,No,Not Required,SOP-Qual-005-rev1,
CC-2025-0011,Apply product design plant new.,Quality Control,Minor,High,Kristen Martin,Closed - Rejected,2024-12-13,2025-05-08,2024-12-18,2025-01-15,,2025-01-19,,No,Not Required,SOP-Prod-002-rev1,CAPA-061
CC-2025-0012,Population debate building their democratic scientist.,Regulatory Affairs,Minor,Medium,Eric Fisher,Pending Assessment,2023-08-12,2023-09-20,2023-08-17,,,,,No,Not Required,SOP-Regu-011-rev2,
CC-2025-0013,Home charge look high.,Engineering,Emergency,Medium,Valerie Powell,Draft,2024-12-03,2025-02-13,,,,,,No,Not Required,SOP-Engi-031-rev2,CAPA-077
CC-2025-0014,Just range rate Mrs.,Quality Assurance,Emergency,High,Valerie Powell,In Implementation,2023-12-06,2024-04-30,2023-12-08,2024-01-12,2024-01-29,,,No,Not Required,SOP-Engi-043-rev1,CAPA-062
CC-2025-0015,Including family old specific television.,Quality Assurance,Emergency,High,Eric Fisher,Draft,2024-12-29,2025-01-28,,,,,,No,Not Required,SOP-IT-027-rev3,
CC-2025-0016,President cold range his make participant sell everyone.,IT,Major,High,Chad Brown,Pending Approval,2024-03-17,2024-07-22,2024-03-19,2024-04-23,,,,No,Not Required,SOP-Engi-007-rev4,
CC-2025-0017,Speak Mrs fine bad scene floor.,Production,Minor,Low,Samantha Perez,Draft,2023-07-28,2023-11-09,,,,,,No,Not Required,SOP-IT-045-rev2,CAPA-009
CC-2025-0018,Believe student task open officer heart color.,Production,Emergency,High,Carlos Bradshaw,Pending Approval,2023-07-19,2024-01-06,2023-07-27,2023-08-24,,,,No,Not Required,SOP-IT-026-rev1,
CC-2025-0019,Rest detail any evidence street guess game.,Quality Assurance,Administrative,Low,Carlos Bradshaw,Pending Assessment,2025-05-06,2025-08-15,2025-05-13,,,,,No,Not Required,SOP-Prod-038-rev3,
CC-2025-0020,Again decade detail hot game tonight.,Quality Control,Major,High,Angela Alvarez,Closed - Implemented,2024-11-08,2025-02-12,2024-11-11,2024-12-17,2025-02-18,2025-02-20,No,No,Not Required,SOP-Prod-002-rev4,
CC-2025-0021,Avoid any call campaign her drug.,Quality Assurance,Major,High,Samantha Perez,Closed - Rejected,2025-04-16,2025-06-21,2025-04-26,2025-05-15,,2025-05-20,,No,Not Required,SOP-Engi-021-rev5,
CC-2025-0022,House what thousand still sound thought.,Production,Administrative,Medium,Chelsea Montes,Pending Assessment,2024-10-09,2025-03-02,2024-10-17,,,,,No,Not Required,SOP-Prod-003-rev1,CAPA-077
CC-2025-0023,Look magazine home fly usually.,Quality Assurance,Administrative,Low,James Smith,Closed - Rejected,2024-11-23,2025-01-24,2024-12-01,2024-12-11,,2024-12-17,,No,Not Required,SOP-Prod-017-rev4,
CC-2025-0024,Thing forward response.,Engineering,Emergency,High,Amanda Salas DDS,Closed - Implemented,2025-01-08,2025-05-11,2025-01-13,2025-02-18,2025-03-23,2025-03-25,Yes,No,Not Required,SOP-Qual-046-rev2,CAPA-096
CC-2025-0025,Step lead in fly affect turn discussion take.,Quality Assurance,Administrative,Low,Samantha Gomez,Pending Approval,2025-06-15,2025-07-19,2025-06-19,2025-06-25,,,,No,Not Required,SOP-IT-044-rev4,
CC-2025-0026,Police sound dog reveal.,Quality Assurance,Minor,Medium,Joseph Romero,Pending Approval,2025-05-03,2025-06-28,2025-05-05,2025-05-11,,,,No,Not Required,SOP-Prod-030-rev3,
CC-2025-0027,List foreign go risk sense.,Quality Control,Emergency,Medium,Angela Alvarez,Closed - Rejected,2025-06-10,2025-08-23,2025-06-19,2025-07-04,,2025-07-09,,No,Not Required,SOP-Engi-042-rev3,
CC-2025-0028,They today local hundred east hold.,Quality Assurance,Minor,Medium,James Smith,Closed - Implemented,2024-07-09,2024-11-29,2024-07-11,2024-07-30,2024-10-18,2024-10-24,Yes,No,Not Required,SOP-Engi-045-rev1,
CC-2025-0029,Area bag check four front and.,Quality Assurance,Administrative,Medium,Joseph Romero,Closed - Rejected,2024-08-26,2024-11-15,2024-09-03,2024-09-13,,2024-09-17,,No,Not Required,SOP-Prod-019-rev5,
