Lab_Sample_ID,Batch_ID,Product_Name,Sample_Type,Sample_Login_Timestamp,Sample_Status,Test_Name,Test_Method_ID,Instrument_ID,Spec_Limit_Min,Spec_Limit_Max,Result_Value,Result_UOM,Result_Status,Analyst_ID,Result_Entry_Timestamp,Reviewed_By,Approved_By
SMPL-00001,B2025126,ProductC,Finished Product,2024-11-11 08:15:44,Awaiting Test,Assay,TM-Assay-PROD-003,INST-Assay-3,98.0,102.0,,%,Test Not Performed,AN-bryantheather,2024-11-11 10:15:44,,
SMPL-00002,B2025009,Product D,Finished Product,2024-10-17 02:16:43,Awaiting Test,Purity,TM-Purity-PROD-004,INST-Purity-3,99.0,,99.6,%,Pass,AN-meyerjoseph,2024-10-17 04:16:43,QA-douglas49,QA-lambertscott
SMPL-00003,B2025001,ProductB,Finished Product,2025-02-25 03:12:23,Awaiting Test,Purity,TM-Purity-PROD-002,INST-Purity-3,99.0,,99.18,%,Pass,AN-wallderek,2025-02-25 07:12:23,,
SMPL-00004,B2025177,ProductA,Finished Product,2025-02-02 04:59:48,Awaiting Test,pH,TM-pH-PROD-001,INST-pH-3,6.5,7.5,6.59,,Pass,AN-meyerjoseph,2025-02-02 05:59:48,QA-lambertscott,
SMPL-00005,B2025048,ProductC,In-Process,2025-06-15 22:45:34,Awaiting Test,Purity,TM-Purity-PROD-003,INST-Purity-3,99.0,,99.83,%,Pass,AN-wallderek,2025-06-15 23:45:34,QA-debra72,QA-lambertscott
SMPL-00006,B2025137,ProductA,Finished Product,2025-03-21 13:16:32,Awaiting Test,Purity,TM-Purity-PROD-001,INST-Purity-3,99.0,,98.81,%,OOS,AN-teresa11,2025-03-21 14:16:32,QA-georgejames,QA-lambertscott
SMPL-00007,B2025061,ProductC,Finished Product,2025-05-12 07:13:46,Awaiting Test,pH,TM-pH-PROD-003,INST-pH-1,6.5,7.5,6.53,,Pass,AN-bryantheather,2025-05-12 11:13:46,,
SMPL-00008,B2025148,Product D,In-Process,2024-09-02 20:51:13,Awaiting Test,Assay,TM-Assay-PROD-004,INST-Assay-2,98.0,102.0,100.2,%,Pass,AN-zcole,2024-09-02 21:51:13,,
SMPL-00009,B2025028,Product D ,Finished Product,2024-07-02 08:17:00,Awaiting Test,Purity,TM-Purity-PROD-004,INST-Purity-3,99.0,,99.95,%,Pass,AN-lauraodom,2024-07-02 11:17:00,QA-lambertscott,QA-debra72
SMPL-00010,B2025112,ProductC,Finished Product,2024-11-18 23:33:15,Awaiting Test,Purity,TM-Purity-PROD-003,INST-Purity-2,99.0,,99.68,%,Pass,AN-wallderek,2024-11-19 01:33:15,QA-georgejames,QA-douglas49
SMPL-00011,B2025122,Product D,Finished Product,2024-10-24 09:55:54,Awaiting Test,Assay,TM-Assay-PROD-004,INST-Assay-2,98.0,102.0,101.2,%,Pass,AN-jose98,2024-10-24 13:55:54,QA-douglas49,
SMPL-00012,B2025193,ProductA,In-Process,2025-04-23 00:20:09,Awaiting Test,pH,TM-pH-PROD-001,INST-pH-3,6.5,7.5,6.5,,Pass,AN-bryantheather,2025-04-23 02:20:09,QA-debra72,QA-lambertscott
SMPL-00013,B2025080,Product D,Finished Product,2024-07-08 02:26:39,Awaiting Test,Assay,TM-Assay-PROD-004,INST-Assay-1,98.0,102.0,101.1,%,Pass,AN-bryantheather,2024-07-08 06:26:39,QA-debra72,QA-douglas49
SMPL-00014,B2025127,ProductC,In-Process,2024-08-21 18:02:49,Awaiting Test,Purity,TM-Purity-PROD-003,INST-Purity-1,99.0,,100.0,%,Pass,AN-teresa11,2024-08-21 20:02:49,QA-lambertscott,
SMPL-00015,B2025075,ProductC,In-Process,2025-03-30 14:36:44,Awaiting Test,Purity,TM-Purity-PROD-003,INST-Purity-1,99.0,,99.89,%,Pass,AN-jose98,2025-03-30 16:36:44,QA-lambertscott,QA-georgejames
SMPL-00016,B2025075,ProductC,Finished Product,2025-03-30 16:06:44,Awaiting Test,Assay,TM-Assay-PROD-003,INST-Assay-2,98.0,102.0,,%,Test Not Performed,AN-teresa11,2025-03-30 18:06:44,,
SMPL-00017,B2025126,ProductC,In-Process,2024-11-11 06:47:44,Awaiting Test,Assay,TM-Assay-PROD-003,INST-Assay-3,98.0,102.0,99.4,%,Pass,AN-bryantheather,2024-11-11 09:47:44,QA-debra72,QA-douglas49
SMPL-00018,B2025188,Product D,Finished Product,2025-03-16 10:12:46,Awaiting Test,Assay,TM-Assay-PROD-004,INST-Assay-2,98.0,102.0,101.6,%,Pass,AN-jose98,2025-03-16 11:12:46,,
SMPL-00019,B2025214,ProductA,Finished Product,2025-03-01 08:21:14,Awaiting Test,pH,TM-pH-PROD-001,INST-pH-1,6.5,7.5,6.74,,Pass,AN-teresa11,2025-03-01 12:21:14,QA-georgejames,QA-lambertscott
SMPL-00020,B2025043,Product D ,In-Process,2025-04-04 07:15:06,Awaiting Test,pH,TM-pH-PROD-004,INST-pH-3,6.5,7.5,6.59,,Pass,AN-teresa11,2025-04-04 08:15:06,QA-georgejames,QA-lambertscott
SMPL-00021,B2025164,Product D,Finished Product,2024-07-28 15:19:07,Awaiting Test,Assay,TM-Assay-PROD-004,INST-Assay-1,98.0,102.0,100.1,%,Pass,AN-jose98,2024-07-28 18:19:07,QA-georgejames,QA-debra72
SMPL-00022,B2025113,Product D,In-Process,2024-08-14 11:58:38,Awaiting Test,pH,TM-pH-PROD-004,INST-pH-2,6.5,7.5,6.67,,Pass,AN-meyerjoseph,2024-08-14 13:58:38,QA-douglas49,QA-debra72
SMPL-00023,B2025093,ProductA,Finished Product,2025-01-17 01:01:59,Awaiting Test,pH,TM-pH-PROD-001,INST-pH-1,6.5,7.5,7.32,,Pass,AN-meyerjoseph,2025-01-17 02:01:59,QA-douglas49,QA-lambertscott
SMPL-00024,B2025035,Product D ,In-Process,2024-12-17 04:59:36,Awaiting Test,Purity,TM-Purity-PROD-004,INST-Purity-2,99.0,,98.9,%,OOS,AN-meyerjoseph,2024-12-17 06:59:36,QA-lambertscott,QA-debra72
SMPL-00025,B2025140,ProductB,In-Process,2024-06-25 16:32:03,Awaiting Test,pH,TM-pH-PROD-002,INST-pH-1,6.5,7.5,7.41,,Pass,AN-bryantheather,2024-06-25 17:32:03,QA-debra72,QA-douglas49
SMPL-00026,B2025220,ProductA,In-Process,2024-07-23 02:23:04,Awaiting Test,Purity,TM-Purity-PROD-001,INST-Purity-3,99.0,,98.96,%,OOS,AN-meyerjoseph,2024-07-23 06:23:04,QA-lambertscott,
