Work_Order_ID,Batch_ID,Product_Code,Master_Recipe_ID,Batch_Phase,Phase_Step,Parameter_Name,Parameter_Value,Performed_By,Verified_By,Execution_Timestamp,Execution_Status,Equipment_ID
WO-2025001,B2025001,PROD-002,RECIPE-PROD-002-V1,Dispensing,Dispense API-Alpha,MAT-002,96.46,OP-dsmith,OP-cody37,2025-02-25 02:45:23,,N/A
WO-2025001,B2025001,PROD-002,RECIPE-PROD-002-V1,Dispensing,Dispense Coating Agent Z,MAT-003,98.37,OP-istanton,,2025-02-25 02:37:23,,N/A
WO-2025001,B2025001,PROD-002,RECIPE-PROD-002-V1,Dispensing,Dispense Excipient X,MAT-001,63.14,OP-veronicascott,OP-kyle12,2025-02-25 02:39:23,,N/A
WO-2025001,B2025001,PROD-002,RECIPE-PROD-002-V1,Manufacturing,Heating Step,Temperature,75.4,OP-dsmith,OP-dsmith,2025-02-25 04:18:23,Within Spec,EQP005
WO-2025001,B2025001,PROD-002,RECIPE-PROD-002-V1,Manufacturing,pH Adjustment,pH,7.99,OP-dsmith,OP-thomas69,2025-02-25 06:18:23,Out of Spec,EQP005
WO-2025003,B2025003,PROD-002,RECIPE-PROD-002-V2,Dispensing,Dispense Coating Agent Z,MAT-003,93.0,OP-hoffmanalvin,OP-cramos,2024-07-04 03:27:14,,N/A
WO-2025003,B2025003,PROD-002,RECIPE-PROD-002-V2,Dispensing,Dispense Excipient X,MAT-001,85.3,OP-efigueroa,OP-cody37,2024-07-04 03:23:14,,N/A
WO-2025003,B2025003,PROD-002,RECIPE-PROD-002-V2,Dispensing,Dispense API-Alpha,MAT-002,82.5,OP-garzaeric,OP-thomas69,2024-07-04 03:21:14,,N/A
WO-2025003,B2025003,PROD-002,RECIPE-PROD-002-V2,Manufacturing,Heating Step,Temperature,83.7,OP-john51,OP-john51,2024-07-04 05:04:14,Out of Spec,EQP006
WO-2025003,B2025003,PROD-002,RECIPE-PROD-002-V2,Manufacturing,pH Adjustment,pH,6.74,OP-john51,OP-hoffmanalvin,2024-07-04 07:04:14,Within Spec,EQP006
WO-2025023,B2025023,PROD-002,RECIPE-PROD-002-V1,Dispensing,Dispense Coating Agent Z,MAT-003,83.37,OP-istanton,OP-rachaelclark,2024-12-27 22:59:25,,N/A
WO-2025023,B2025023,PROD-002,RECIPE-PROD-002-V1,Dispensing,Dispense Excipient X,MAT-001,74.53,OP-dsmith,OP-garzaeric,2024-12-27 22:54:25,,N/A
WO-2025023,B2025023,PROD-002,RECIPE-PROD-002-V1,Dispensing,Dispense API-Alpha,MAT-002,98.91,OP-rachaelclark,OP-kyle12,2024-12-27 22:50:25,,N/A
WO-2025023,B2025023,PROD-002,RECIPE-PROD-002-V1,Manufacturing,Heating Step,Temperature,74.5,OP-kyle12,OP-thomas69,2024-12-28 00:36:25,Within Spec,EQP004
WO-2025023,B2025023,PROD-002,RECIPE-PROD-002-V1,Manufacturing,pH Adjustment,pH,6.61,OP-kyle12,OP-cody37,2024-12-28 02:36:25,Within Spec,EQP004
WO-2025219,B2025219,PROD-002,RECIPE-PROD-002-V2,Dispensing,Dispense Excipient X,MAT-001,95.04,OP-efigueroa,OP-rachaelclark,2025-06-17 03:30:37,,N/A
WO-2025219,B2025219,PROD-002,RECIPE-PROD-002-V2,Dispensing,Dispense API-Alpha,MAT-002,62.53,OP-cody37,OP-wagnerjason,2025-06-17 03:25:37,,N/A
WO-2025219,B2025219,PROD-002,RECIPE-PROD-002-V2,Manufacturing,Heating Step,Temperature,76.5,OP-efigueroa,OP-wagnerjason,2025-06-17 05:08:37,Within Spec,EQP005
WO-2025219,B2025219,PROD-002,RECIPE-PROD-002-V2,Manufacturing,pH Adjustment,pH,7.88,OP-efigueroa,OP-kyle12,2025-06-17 07:08:37,Out of Spec,EQP005
WO-2025016,B2025016,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense API-Alpha,MAT-002,68.98,OP-dana45,OP-dsmith,2024-07-05 14:09:41,,N/A
WO-2025016,B2025016,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense Coating Agent Z,MAT-003,83.4,OP-thomas69,OP-veronicascott,2024-07-05 14:12:41,,N/A
WO-2025016,B2025016,PROD-003,RECIPE-PROD-003-V3,Manufacturing,Heating Step,Temperature,72.5,OP-cody37,OP-wagnerjason,2024-07-05 15:57:41,Within Spec,EQP006
WO-2025016,B2025016,PROD-003,RECIPE-PROD-003-V3,Manufacturing,pH Adjustment,pH,7.92,OP-cody37,OP-dana45,2024-07-05 17:57:41,Out of Spec,EQP006
WO-2025171,B2025171,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense Coating Agent Z,MAT-003,86.49,OP-hoffmanalvin,OP-efigueroa,2024-11-19 20:48:43,,N/A
WO-2025171,B2025171,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense Excipient X,MAT-001,69.43,OP-cody37,OP-efigueroa,2024-11-19 20:55:43,,N/A
WO-2025171,B2025171,PROD-004,RECIPE-PROD-004-V1,Manufacturing,Heating Step,Temperature,74.1,OP-kyle12,OP-dana45,2024-11-19 22:37:43,Within Spec,EQP002
WO-2025171,B2025171,PROD-004,RECIPE-PROD-004-V1,Manufacturing,pH Adjustment,pH,6.54,OP-kyle12,OP-rachaelclark,2024-11-20 00:37:43,Within Spec,EQP002
WO-2025171,B2025171,Product D,RECIPE-PROD-004-V1,Packaging,Final Label Check,Label Verification,Pass,OP-kyle12,OP-kyle12,2024-11-20 04:37:43,Completed,PKG-LINE-01
WO-2025206,B2025206,PROD-003,RECIPE-PROD-003-V2,Dispensing,Dispense API-Alpha,MAT-002,81.28,OP-wagnerjason,OP-hoffmanalvin,2025-05-25 13:10:16,,N/A
WO-2025206,B2025206,PROD-003,RECIPE-PROD-003-V2,Dispensing,Dispense Coating Agent Z,MAT-003,62.73,OP-wagnerjason,OP-istanton,2025-05-25 13:20:16,,N/A
WO-2025206,B2025206,PROD-003,RECIPE-PROD-003-V2,Dispensing,Dispense Excipient X,MAT-001,90.47,OP-cramos,OP-hoffmanalvin,2025-05-25 13:20:16,,N/A
WO-2025206,B2025206,PROD-003,RECIPE-PROD-003-V2,Manufacturing,Heating Step,Temperature,74.8,OP-dana45,OP-wagnerjason,2025-05-25 14:51:16,Within Spec,EQP001
WO-2025206,B2025206,PROD-003,RECIPE-PROD-003-V2,Manufacturing,pH Adjustment,pH,6.75,OP-dana45,OP-cramos,2025-05-25 16:51:16,Within Spec,EQP001
WO-2025129,B2025129,PROD-002,RECIPE-PROD-002-V2,Dispensing,Dispense Coating Agent Z,MAT-003,96.4,OP-thomas69,OP-hoffmanalvin,2024-08-26 07:30:04,,N/A
WO-2025129,B2025129,PROD-002,RECIPE-PROD-002-V2,Dispensing,Dispense API-Alpha,MAT-002,88.45,OP-thomas69,OP-dsmith,2024-08-26 07:15:04,,N/A
WO-2025129,B2025129,PROD-002,RECIPE-PROD-002-V2,Dispensing,Dispense Excipient X,MAT-001,59.4,OP-istanton,,2024-08-26 07:18:04,,N/A
WO-2025129,B2025129,PROD-002,RECIPE-PROD-002-V2,Manufacturing,Heating Step,Temperature,83.8,OP-cramos,OP-john51,2024-08-26 09:02:04,Out of Spec,EQP003
WO-2025129,B2025129,PROD-002,RECIPE-PROD-002-V2,Manufacturing,pH Adjustment,pH,6.76,OP-cramos,OP-cody37,2024-08-26 11:02:04,Within Spec,EQP003
WO-2025044,B2025044,PROD-003,RECIPE-PROD-003-V2,Dispensing,Dispense Coating Agent Z,MAT-003,62.28,OP-wagnerjason,OP-hoffmanalvin,2025-02-17 22:54:38,,N/A
WO-2025044,B2025044,PROD-003,RECIPE-PROD-003-V2,Dispensing,Dispense API-Alpha,MAT-002,85.99,OP-john51,OP-wagnerjason,2025-02-17 22:59:38,,N/A
WO-2025044,B2025044,PROD-003,RECIPE-PROD-003-V2,Manufacturing,Heating Step,Temperature,80.2,OP-kyle12,OP-hoffmanalvin,2025-02-18 00:46:38,Out of Spec,EQP002
WO-2025044,B2025044,PROD-003,RECIPE-PROD-003-V2,Manufacturing,pH Adjustment,pH,6.36,OP-kyle12,OP-cramos,2025-02-18 02:46:38,Out of Spec,EQP002
WO-2025018,B2025018,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense Excipient X,MAT-001,90.95,OP-kyle12,OP-wagnerjason,2024-10-25 19:28:24,,N/A
WO-2025018,B2025018,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense Coating Agent Z,MAT-003,98.11,OP-thomas69,OP-dsmith,2024-10-25 19:16:24,,N/A
WO-2025018,B2025018,PROD-004,RECIPE-PROD-004-V1,Manufacturing,Heating Step,Temperature,76.7,OP-john51,OP-rachaelclark,2024-10-25 20:58:24,Within Spec,EQP004
WO-2025018,B2025018,PROD-004,RECIPE-PROD-004-V1,Manufacturing,pH Adjustment,pH,6.13,OP-john51,OP-wagnerjason,2024-10-25 22:58:24,Out of Spec,EQP004
WO-2025018,B2025018,Product D,RECIPE-PROD-004-V1,Packaging,Final Label Check,Label Verification,Pass,OP-john51,OP-cramos,2024-10-26 02:58:24,Completed,PKG-LINE-01
WO-2025114,B2025114,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense API-Alpha,MAT-002,92.64,OP-istanton,OP-john51,2024-12-28 05:32:33,,N/A
WO-2025114,B2025114,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense Coating Agent Z,MAT-003,71.81,OP-istanton,OP-efigueroa,2024-12-28 05:41:33,,N/A
WO-2025114,B2025114,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense Excipient X,MAT-001,72.31,OP-efigueroa,,2024-12-28 05:40:33,,N/A
WO-2025114,B2025114,PROD-003,RECIPE-PROD-003-V3,Manufacturing,Heating Step,Temperature,79.3,OP-wagnerjason,OP-cramos,2024-12-28 07:20:33,Within Spec,EQP004
WO-2025114,B2025114,PROD-003,RECIPE-PROD-003-V3,Manufacturing,pH Adjustment,pH,6.54,OP-wagnerjason,OP-cody37,2024-12-28 09:20:33,Within Spec,EQP004
WO-2025172,B2025172,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense API-Alpha,MAT-002,59.8,OP-thomas69,OP-kyle12,2024-08-13 08:32:54,,N/A
