Record_ID,Record_Type,Title,Description,Batch_ID,Product_Code,Status_Workflow,Owner_Name,Open_Date,Due_Date,Closure_Date,Source_Event_ID
QE-00001,CAPA,CAPA Plan for ProductB,Corrective and preventive actions to address root cause of Audit Finding.,B2025067,PROD-002,Pending Approval,QA-osbornemelissa,2024-12-03,2025-01-20,,
QE-00002,Change Control,Change Control for SOP Update,Proposed change to improve efficiency.,B2025004,PROD-003,Closed,QA-vasquezjennifer,2025-05-05,2025-06-08,2025-06-05,QE-00001
QE-00003,CAPA,CAPA Plan for ProductB,Corrective and preventive actions to address root cause of Deviation.,B2025068,PROD-002,Closed,QA-osbornemelissa,2025-04-26,2025-05-13,2025-04-28,QE-00001
QE-00004,CAPA,CAPA Plan for ProductA,Corrective and preventive actions to address root cause of Audit Finding.,B2025068,PROD-001,In Progress,QA-osbornemelissa,2024-01-31,2024-03-19,,QE-00002
QE-00005,Change Control,Change Control for Equipment Update,Proposed change to improve efficiency.,B2025078,PROD-004,Pending Implementation,QA-osbornemelissa,2023-08-25,2023-09-12,,QE-00004
QE-00006,Deviation,Deviation Investigation for Batch B2025086,Unexpected parameter drift during manufacturing of ProductA.,B2025086,PROD-001,Closed,QA-susanwilliams,2024-01-20,2024-04-05,2024-02-18,
QE-00007,Change Control,Change Control for SOP Update,Proposed change to improve efficiency.,B2025084,PROD-004,Pending Approval,QA-ubrown,2024-01-05,2024-03-31,,QE-00006
QE-00008,CAPA,CAPA Plan for ProductC,Corrective and preventive actions to address root cause of Audit Finding.,B2025100,PROD-003,Pending Implementation,QA-ubrown,2024-10-04,2024-11-28,,QE-00007
QE-00009,Change Control,Change Control for Equipment Update,Proposed change to improve efficiency.,B2025047,PROD-004,Closed,QA-susanwilliams,2023-08-10,2023-08-25,2023-08-10,
QE-00010,Change Control,Change Control for Process Update,Proposed change to update to new regulatory guideline.,B2025025,PROD-004,Pending Approval,QA-ubrown,2023-09-06,2023-09-30,,
QE-00011,Deviation,Deviation Investigation for Batch B2025025,,B2025025,PROD-003,Pending Approval,QA-susanwilliams,2024-01-16,2024-03-15,,
QE-00012,Change Control,Change Control for SOP Update,Proposed change to improve efficiency.,B2025002,PROD-001,Closed,QA-susanwilliams,2023-08-19,2023-10-18,2023-09-25,QE-00009
QE-00013,Change Control,Change Control for Equipment Update,Proposed change to address a CAPA.,B2025084,PROD-004,Pending Approval,QA-vasquezjennifer,2025-06-01,2025-06-25,,
QE-00014,CAPA,CAPA Plan for ProductC,Corrective and preventive actions to address root cause of Deviation.,B2025029,PROD-003,Closed,QA-ubrown,2025-02-01,2025-02-26,2025-02-11,QE-00004
QE-00015,Change Control,Change Control for Process Update,Proposed change to address a CAPA.,B2025098,PROD-004,Pending Implementation,QA-susanwilliams,2023-11-12,2024-01-05,,
QE-00016,Change Control,Change Control for Equipment Update,Proposed change to improve efficiency.,B2025104,PROD-003,Closed,QA-ubrown,2023-12-31,2024-02-15,2024-01-12,
QE-00017,Change Control,Change Control for Process Update,Proposed change to update to new regulatory guideline.,B2025044,PROD-004,In Progress,QA-susanwilliams,2025-06-05,2025-08-10,,QE-00011
QE-00018,Change Control,Change Control for Process Update,Proposed change to improve efficiency.,B2025019,PROD-004,In Progress,QA-osbornemelissa,2024-03-02,2024-05-22,,QE-00004
QE-00019,Change Control,Change Control for SOP Update,Proposed change to improve efficiency.,B2025068,PROD-002,In Progress,QA-ubrown,2025-03-20,2025-06-05,,
QE-00020,Change Control,Change Control for Equipment Update,Proposed change to update to new regulatory guideline.,B2025056,PROD-004,Closed,QA-susanwilliams,2024-08-01,2024-08-20,2024-08-01,QE-00013
QE-00021,Deviation,Deviation Investigation for Batch B2025004,,B2025004,PROD-001,Pending Implementation,QA-susanwilliams,2024-11-14,2025-02-05,,
QE-00022,Deviation,Deviation Investigation for Batch B2025004,Unexpected OOS result during manufacturing of ProductC.,B2025004,PROD-003,In Progress,QA-osbornemelissa,2024-01-05,2024-02-25,,
QE-00023,CAPA,CAPA Plan for ProductA,Corrective and preventive actions to address root cause of Complaint.,B2025007,PROD-001,Closed,QA-susanwilliams,2024-10-24,2024-11-16,2024-11-13,QE-00010
QE-00024,Deviation,Deviation Investigation for Batch B2025044,Unexpected parameter drift during manufacturing of ProductB.,B2025044,PROD-002,In Progress,QA-osbornemelissa,2025-05-21,2025-07-07,2025-06-19,
QE-00025,CAPA,CAPA Plan for ProductC,Corrective and preventive actions to address root cause of Audit Finding.,B2025025,PROD-003,In Progress,QA-ubrown,2024-07-28,2024-08-30,,QE-00015
QE-00026,CAPA,CAPA Plan for Product D,Corrective and preventive actions to address root cause of Audit Finding.,B2025062,PROD-004,Closed,QA-osbornemelissa,2025-03-06,2025-05-07,2025-04-15,QE-00008
QE-00027,Change Control,Change Control for Process Update,Proposed change to update to new regulatory guideline.,B2025002,PROD-003,Pending Approval,QA-susanwilliams,2024-08-08,2024-10-26,,QE-00011
QE-00028,CAPA,CAPA Plan for ProductB,Corrective and preventive actions to address root cause of Audit Finding.,B2025053,PROD-002,Pending Implementation,QA-susanwilliams,2023-11-11,2023-12-17,,QE-00007
