Sample_ID,Batch_ID,Product_Name,Sample_Type,Test_Name,Test_Specification_Min,Test_Specification_Max,Test_Result_Value,Test_Result_UOM,Test_Status,Test_Date,Analyst_ID,Linked_OOS_ID
LIMS_S001,B075,ProductB,In-Process,Dissolution,,,,,,2024-08-08,AN005,
LIMS_S002,B039,ProductB,Finished Product,Purity,99.0,,99.6,%,,2024-12-18,AN003,
LIMS_S003,B150,ProductB,Stability,Dissolution,,,,,,2025-05-23,AN005,
LIMS_S004,B007,Product D,Raw Material,Identification,,,Conforms,,,2024-12-09,AN003,
LIMS_S005,B142,ProductC,Stability,Color Check,,,Colorless,,,2024-12-18,AN003,
LIMS_S006,B035,ProductB,In-Process,Dissolution,,,,,,2024-11-28,AN002,
LIMS_S007,B010,ProductC,In-Process,Identification,,,Negative,,Fail,2024-12-17,AN005,OOS001
LIMS_S008,B069,ProductA,Finished Product,Dissolution,,,,,Pass,2025-06-06,AN001,
LIMS_S009,B116,ProductC,Stability,Dissolution,,,,,OOS Investigating,2025-04-16,AN005,
LIMS_S010,B099,ProductB,Raw Material,Identification,,,Positive,,Pass,2025-03-08,AN003,
LIMS_S011,B060,ProductA,Raw Material,Identification,,,Conforms,,Pass,2025-02-19,AN003,
LIMS_S012,B001,ProductA,In-Process,Dissolution,,,,,Pass,2025-05-08,AN004,
LIMS_S013,B082,ProductC,Stability,Viscosity,100.0,150.0,133.0,cP,Pass,2024-10-29,AN004,
LIMS_S014,B146,ProductC,Raw Material,Identification,,,Negative,,Fail,2025-05-07,AN001,OOS002
LIMS_S015,B142,Product D,Stability,pH,6.5,7.5,6.1,,Fail,2024-12-18,AN004,OOS003
LIMS_S016,B022,ProductA,In-Process,Viscosity,100.0,150.0,106.0,cP,Pass,2024-08-21,AN002,
LIMS_S017,B076,ProductB,In-Process,Appearance,,,Particulates Observed,,Fail,2024-12-21,AN004,OOS004
LIMS_S018,B003,ProductA,Finished Product,Assay,98.0,102.0,99.7,%,Pass,2024-07-19,AN005,
LIMS_S019,B009,ProductA,Finished Product,Assay,98.0,102.0,99.8,%,Pass,2024-08-23,AN004,
LIMS_S020,B004,Product D,Raw Material,Identification,,,Negative,,Fail,2024-12-19,AN005,OOS005
LIMS_S021,B018,Product D,Stability,Color Check,,,Off-color,,Fail,2024-07-15,AN003,OOS006
LIMS_S022,B076,ProductB,Raw Material,Identification,,,Conforms,,Pass,2024-12-24,AN003,
LIMS_S023,B035,ProductB,Raw Material,Identification,,,Positive,,Pass,2024-11-27,AN001,
LIMS_S024,B125,ProductB,Raw Material,Identification,,,Positive,,Pass,2024-12-21,AN001,
LIMS_S025,B075,ProductB,Raw Material,Identification,,,Conforms,,Pass,2024-08-12,AN004,
LIMS_S026,B022,ProductA,Raw Material,Identification,,,Conforms,,Pass,2024-08-21,AN005,
LIMS_S027,B133,ProductB,Finished Product,Dissolution,,,,,Fail,2024-08-14,AN005,OOS007
LIMS_S028,B099,ProductB,Raw Material,Identification,,,Negative,,Fail,2025-03-05,AN005,OOS008
