Batch_ID,Product_Name,Manufacturing_Start_Timestamp,Manufacturing_End_Timestamp,Equipment_ID,Operator_ID,CPP1_Name,CPP1_Value,CPP1_UOM,CPP1_Status,CPP2_Name,CPP2_Value,CPP2_UOM,CPP2_Status,Yield_Kg,Batch_Status,Linked_Deviation_ID
B144,ProductC,2024-12-01 04:16:18.371603,2024-12-01 10:59:18.371603,EQP005,OP001,Temperature,72.4,C,Within Spec,MixingSpeed,301,RPM,Within Spec,,In Progress,
B076,ProductB,2025-06-10 16:58:30.686171,2025-06-11 02:33:30.686171,EQP002,OP002,Temperature,72.1,C,Within Spec,MixingSpeed,307,RPM,Within Spec,,In Progress,
B032,ProductB,2024-11-16 21:00:11.282091,2024-11-17 07:34:11.282091,EQP002,OP004,Temperature,71.8,C,Within Spec,MixingSpeed,299,RPM,Within Spec,,In Progress,
B095,Product D,2025-04-14 18:25:32.202536,2025-04-15 07:02:32.202536,EQP002,OP003,Temperature,72.3,C,Within Spec,MixingSpeed,282,RPM,Out of Spec,,Rejected,DEV039
B066,ProductA,2025-06-03 21:19:08.848984,2025-06-04 08:32:08.848984,EQP002,OP007,Temperature,81.8,C,Out of Spec,MixingSpeed,304,RPM,Within Spec,,Hold,DEV038
B009,ProductA,2025-04-16 05:21:11.009235,2025-04-16 17:20:11.009235,EQP001,OP005,Temperature,75.3,C,Within Spec,MixingSpeed,299,RPM,Within Spec,,Completed,
B087,Product D,2024-10-15 01:18:33.222418,2024-10-15 09:16:33.222418,EQP002,OP005,Temperature,78.1,C,Within Spec,MixingSpeed,292,RPM,Within Spec,,In Progress,
B110,Product D,2024-10-25 04:08:25.627435,2024-10-25 10:24:25.627435,EQP002,OP006,Temperature,74.1,C,Within Spec,MixingSpeed,290,RPM,Within Spec,,Completed,
B099,ProductA,2024-07-01 17:18:22.168657,2024-07-01 23:43:22.168657,EQP002,OP005,Temperature,80.9,C,Out of Spec,MixingSpeed,282,RPM,Out of Spec,,Hold,DEV062
B035,ProductB,2024-10-18 16:24:43.412265,2024-10-19 00:10:43.412265,EQP002,OP010,Temperature,75.2,C,Within Spec,MixingSpeed,303,RPM,Within Spec,,Completed,
B120,ProductC,2025-05-31 06:32:41.251141,2025-05-31 17:45:41.251141,EQP005,OP009,Temperature,72.1,C,Within Spec,MixingSpeed,299,RPM,Within Spec,85.9,Completed,
B023,ProductB,2024-07-06 08:07:08.896307,2024-07-06 15:24:08.896307,EQP004,OP002,Temperature,83.1,C,Out of Spec,MixingSpeed,295,RPM,Within Spec,85.8,Rejected,DEV058
B015,ProductA,2025-04-15 16:48:32.533436,2025-04-16 04:42:32.533436,EQP002,OP007,Temperature,70.3,C,Within Spec,MixingSpeed,299,RPM,Within Spec,96.4,In Progress,
B037,Product D,2025-02-09 10:04:52.265936,2025-02-09 19:58:52.265936,EQP002,OP004,Temperature,84.9,C,Out of Spec,MixingSpeed,292,RPM,Within Spec,89.4,Rejected,DEV009
B089,ProductA,2024-12-09 12:08:00.329921,2024-12-09 22:20:00.329921,EQP001,OP003,Temperature,74.8,C,Within Spec,MixingSpeed,282,RPM,Out of Spec,95.3,Rejected,
B138,ProductA,2024-11-07 14:07:56.077119,2024-11-07 23:59:56.077119,EQP004,OP009,Temperature,75.1,C,Within Spec,MixingSpeed,299,RPM,Within Spec,90.7,In Progress,
B020,ProductA,2024-12-28 23:44:20.767168,2024-12-29 05:44:20.767168,EQP001,OP005,Temperature,75.4,C,Within Spec,MixingSpeed,295,RPM,Within Spec,87.4,Completed,
B130,Product D,2025-02-28 15:03:53.403799,2025-03-01 02:45:53.403799,EQP002,OP003,Temperature,76.5,C,Within Spec,MixingSpeed,283,RPM,Out of Spec,92.8,Rejected,
B139,ProductB,2024-10-03 21:58:54.338394,2024-10-04 08:57:54.338394,EQP002,OP008,Temperature,81.5,C,Out of Spec,MixingSpeed,315,RPM,Out of Spec,90.2,Rejected,DEV021
B090,Product D,2025-02-05 17:33:59.284359,2025-02-06 01:52:59.284359,EQP002,OP002,Temperature,82.8,C,Out of Spec,MixingSpeed,304,RPM,Within Spec,85.1,Rejected,
B021,ProductC,2025-01-26 02:48:52.460588,2025-01-26 10:10:52.460588,EQP005,OP007,Temperature,78.2,C,Within Spec,MixingSpeed,288,RPM,Out of Spec,85.6,Hold,
B034,ProductA,2024-11-26 16:13:49.752340,2024-11-26 22:41:49.752340,EQP002,OP005,Temperature,83.5,C,Out of Spec,MixingSpeed,295,RPM,Within Spec,95.5,Hold,
B109,Product D,2024-12-11 02:36:14.453845,2024-12-11 09:08:14.453845,EQP005,OP009,Temperature,79.5,C,Within Spec,MixingSpeed,297,RPM,Within Spec,92.5,In Progress,
B108,Product D,2025-04-23 14:47:49.058131,2025-04-23 23:09:49.058131,EQP001,OP001,Temperature,80.0,C,Within Spec,MixingSpeed,307,RPM,Within Spec,95.7,Completed,
