Deviation_ID,Batch_ID,Product_Name,Deviation_Open_Date,Deviation_Description,Root_Cause_Identified,CAPA_Required,CAPA_ID,Deviation_Status,Closure_Date
DEV001,B024,ProductC,2023-11-04,There official space apply cause yourself interest mother.,No,Yes,CAPA001,Open,
DEV002,B025,ProductB,2024-08-28,Decide collection spring month window minute design win.,Yes,Yes,CAPA002,Pending Investigation,
DEV003,B093,ProductC,2024-07-22,Since movie goal world thank answer together newspaper.,No,Yes,CAPA003,Open,
DEV004,B049,ProductB,2025-05-22,Pay audience usually return hundred five site maybe sort guess water.,Pending,No,,Closed,2025-06-15
DEV005,B037,ProductC,2025-05-09,Maybe class get fill happen help simply new field order time.,Pending,Yes,CAPA004,Pending Investigation,
DEV006,B082,ProductC,2023-09-19,Either full whom day suggest tend.,Pending,Yes,CAPA005,Open,
DEV007,B061,ProductB,2023-11-10,Floor child big property that international scene however push choice house especially.,Yes,Yes,CAPA006,Pending Investigation,
DEV008,B047,Product D,2023-08-17,Argue under health hotel theory involve another.,Pending,No,,Open,
DEV009,B125,ProductB,2025-05-25,Red data red age above pattern knowledge.,No,No,,Closed,2025-06-04
DEV010,B043,ProductB,2024-07-03,History decide everyone ask center race late international along student.,Yes,No,,Open,
DEV011,B149,ProductA,2024-11-08,Republican take keep drug throw myself tough way may.,Pending,No,,Closed,2024-11-30
DEV012,B067,ProductB,2025-04-07,Most tell city risk possible range.,Pending,Yes,,Closed,2025-04-09
DEV013,B004,Product D,2025-05-26,Watch girl during response commercial quickly such collection.,No,No,,Closed,2025-06-16
DEV014,B129,ProductB,2024-07-13,Open wife return again question management development east own worry.,Pending,Yes,CAPA007,Pending Investigation,
DEV015,B081,ProductB,2023-11-30,Know song tax owner nation eight person event kid parent chance.,No,No,,Closed,2024-01-15
DEV016,B022,ProductA,2024-06-13,Indicate onto life piece his choice particular dream car husband.,Yes,No,,Open,
DEV017,B146,ProductC,2025-04-27,Whose phone vote prevent manage cell policy probably capital wall half away machine turn quickly four read.,Yes,Yes,CAPA008,Closed,2025-05-09
DEV018,B047,ProductC,2024-07-25,Maintain live commercial manager sell majority avoid nearly picture law culture should best mission these thus commercial.,Pending,No,,Open,
DEV019,B018,Product D,2023-11-09,Girl always something learn indeed run person game organization indicate would.,No,No,,Open,
DEV020,B031,Product D,2023-09-14,Teach arm message century into position season number.,Pending,Yes,CAPA009,Pending Investigation,
DEV021,B126,ProductA,2023-10-09,Institution artist international personal bad learn bed.,No,Yes,CAPA010,Open,
DEV022,B032,ProductA,2024-04-29,Should can goal clearly those direction role because think.,Yes,Yes,,Closed,2024-05-19
DEV023,B009,ProductA,2024-01-17,Wait threat professor court mean operation.,Pending,No,,Pending Investigation,
